city,type,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
All Areas,Arts Culture & Recreation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Areas,COVID-19 Control,0,1,2,0,1,3,0,0,10,12,16,25,52,30,72,72,34,43,51,14,82,63,26,19,33,29,12,59,31,24,31,24,24,11,68,33,25,18,14,22,8,59,41,26,18,8,7,12,27,6,20,12,16,9,17,20,14,16,6,9,6,12,28,7,7,9,8,6,10,2,0,6,5,12,11,17,12,11,11,6,5,4,7,7,2,5,6,4,5,3,19,4,9,8,7,1,6,14,1,5,2,5,6,2,3,6,7,3,3,7,5,13,2,10,5,4,19,6,34,27,11,5,9,5,10,13,10,30,4,15,16,7,55,13,6,20,6,16,21,31,11,20,23,20,15,23,23,11,9,20,19,9,5,3,15,3,16,27,30,34,42,18,36,32,9,14,11,24,21,8,11,11,6,11,14,27,7,10,7,12,6,14,5,7
All Areas,COVID-19 Diagnostic Tests,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,9,3,3,7,1,4,12,2,6,3,5,2,0,7,4,1,2,0,6,9,9,5,15,7,7,1,11,10,6,6,1,3,2,3,19,5,3,6,6,2,2,3,3
All Areas,Clothing/Personal/Household Needs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,0,3,0,2,4,0,4,0,2,1,4,1,0,0,5,1,1,0,0,0,0,0,0,1,2,1,1,0,1,2,1,1,0,0,0,0,3,1,3,0,0,1,10,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,2,0,0,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,2,4,1
All Areas,Disaster Services,0,3,1,3,3,0,0,0,0,0,1,0,0,0,3,6,1,11,8,6,11,3,5,0,4,3,2,5,6,2,0,1,10,5,5,2,14,9,2,8,5,4,0,10,11,8,8,9,1,1,8,3,6,7,5,6,3,14,5,2,4,8,11,6,14,17,6,16,13,1,0,18,23,15,20,10,4,1,36,16,15,13,21,3,2,6,17,13,17,20,10,0,13,17,8,7,18,3,0,26,9,12,12,17,8,8,26,24,25,26,37,12,5,30,28,27,24,29,11,4,22,22,21,22,7,4,3,22,20,65,40,32,10,7,17,22,26,33,30,5,5,16,33,50,62,51,9,12,42,30,46,30,35,14,11,50,34,54,53,38,16,5,22,33,52,44,38,12,6,45,41,29,27,39,6,2,34,28,27,28,33,10,7,21
All Areas,Donations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Areas,Education,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Areas,Employment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,2,0,1,4,4,2,1,2,2,3,3,1,4,1,4,4,7,9,7,7,2,5,3,7,10,3,3,3,1,0,3,6,4,4,1,1,1,5,5,5,5,1,2,0,5,5,4,5,3,0,1,2,3,5,2,2,1,0,3,1,5,1,1,0,0,0,3,1,1,3,2,1,5,4,2,2,2,1,0,5,7,4,4,1,1,0,7,2,4,5,8,3,0,7,8,2,4,2,0,0,5,3,0,3,0,0,1,6,2,1,2,1,0,0,1,2,3,1,4,1,0,4,1,2,1,1,1,0,0,0,1,2,1,0,0,1,4,3,1,0,1,0,1,2,1,1,2,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0
All Areas,Food/Meals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,20,31,37,28,7,6,19,13,14,11,7,9,1,15,9,22,27,14,17,11,27,18,31,35,30,11,6,22,15,23,26,15,2,1,27,21,22,17,14,11,4,20,20,11,19,28,7,8,35,39,15,28,16,8,6,29,23,20,17,17,11,12,28,16,16,13,15,6,17,1,12,23,33,21,15,5,33,24,17,13,4,2,4,19,7,15,7,16,1,3,3,9,12,10,10,9,2,9,11,11,3,7,6,2,7,5,6,9,0,1,1,6,3,7,4,10,4,3,3,9,12,7,8,3,1,6,5,8,7,5,1,5,4,4,6,7,8,1,1,7,5,7,16,19,3,1,8,3,7,8,12,2,0,8,12,6,7,13,2,3,7,7,7,13,9,7,3,3
All Areas,Health Care,0,1,3,4,2,10,4,0,6,9,2,0,7,0,2,0,1,1,0,0,8,6,1,3,3,5,3,9,14,5,4,12,7,5,7,11,7,3,10,6,2,6,4,2,2,3,2,2,2,0,7,3,1,4,4,10,1,7,3,6,8,3,5,3,8,2,7,3,0,5,0,8,1,1,0,3,4,2,1,4,3,3,0,0,2,1,1,4,4,2,1,6,2,1,0,2,1,1,0,3,2,1,0,2,3,1,0,1,5,2,2,3,0,3,1,0,3,2,0,1,3,1,1,3,0,1,0,3,4,5,0,5,1,0,0,4,0,7,5,3,0,1,7,4,2,8,0,5,2,2,4,3,1,1,2,2,0,2,1,0,3,0,3,3,1,0,0,1,4,1,0,3,1,2,0,3,2,1,2,4,0,1,0,4
